train_id,corridor_id,section_id,line_id,train_type,service_date,departure_time,arrival_time,buffer_before,buffer_after
TRN-0033,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-04,08:30,09:00,15,15
TRN-0034,COR-1,SEC-1,LIN-1,GOODS,2026-09-04,10:00,10:45,10,10
TRN-0035,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-04,06:00,06:30,15,15
TRN-0036,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-04,08:30,09:00,15,15
TRN-0037,COR-2,SEC-3,LIN-5,GOODS,2026-09-04,10:00,10:45,10,10
TRN-0038,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-04,06:00,06:30,15,15
TRN-0039,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-04,08:30,09:00,15,15
TRN-0040,COR-3,SEC-5,LIN-7,GOODS,2026-09-04,10:00,10:45,10,10
TRN-0041,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-05,06:00,06:30,15,15
TRN-0042,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-05,08:30,09:00,15,15
TRN-0043,COR-1,SEC-1,LIN-1,GOODS,2026-09-05,10:00,10:45,10,10
TRN-0044,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-05,01:30,02:00,15,15
TRN-0045,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-05,06:00,06:30,15,15
TRN-0046,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-05,08:30,09:00,15,15
TRN-0047,COR-2,SEC-3,LIN-5,GOODS,2026-09-05,10:00,10:45,10,10
TRN-0048,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-05,01:30,02:00,15,15
TRN-0049,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-05,06:00,06:30,15,15
TRN-0050,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-05,08:30,09:00,15,15
TRN-0051,COR-3,SEC-5,LIN-7,GOODS,2026-09-05,10:00,10:45,10,10
TRN-0052,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-05,01:30,02:00,15,15
TRN-0053,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-06,06:00,06:30,15,15
TRN-0054,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-06,08:30,09:00,15,15
TRN-0055,COR-1,SEC-1,LIN-1,GOODS,2026-09-06,10:00,10:45,10,10
TRN-0056,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-06,06:00,06:30,15,15
TRN-0057,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-06,08:30,09:00,15,15
TRN-0058,COR-2,SEC-3,LIN-5,GOODS,2026-09-06,10:00,10:45,10,10
TRN-0059,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-06,06:00,06:30,15,15
TRN-0060,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-06,08:30,09:00,15,15
TRN-0061,COR-3,SEC-5,LIN-7,GOODS,2026-09-06,10:00,10:45,10,10
TRN-0062,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-07,06:00,06:30,15,15
TRN-0063,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-07,08:30,09:00,15,15
TRN-0064,COR-1,SEC-1,LIN-1,GOODS,2026-09-07,10:00,10:45,10,10
TRN-0065,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-07,06:00,06:30,15,15
TRN-0066,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-07,08:30,09:00,15,15
TRN-0067,COR-2,SEC-3,LIN-5,GOODS,2026-09-07,10:00,10:45,10,10
TRN-0068,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-07,06:00,06:30,15,15
TRN-0069,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-07,08:30,09:00,15,15
TRN-0070,COR-3,SEC-5,LIN-7,GOODS,2026-09-07,10:00,10:45,10,10
TRN-0071,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-08,06:00,06:30,15,15
TRN-0072,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-08,08:30,09:00,15,15
TRN-0073,COR-1,SEC-1,LIN-1,GOODS,2026-09-08,10:00,10:45,10,10
TRN-0074,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-08,06:00,06:30,15,15
TRN-0075,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-08,08:30,09:00,15,15
TRN-0076,COR-2,SEC-3,LIN-5,GOODS,2026-09-08,10:00,10:45,10,10
TRN-0077,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-08,06:00,06:30,15,15
TRN-0078,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-08,08:30,09:00,15,15
TRN-0079,COR-3,SEC-5,LIN-7,GOODS,2026-09-08,10:00,10:45,10,10
TRN-0080,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-09,06:00,06:30,15,15
TRN-0081,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-09,08:30,09:00,15,15
TRN-0082,COR-1,SEC-1,LIN-1,GOODS,2026-09-09,10:00,10:45,10,10
TRN-0083,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-09,06:00,06:30,15,15
TRN-0084,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-09,08:30,09:00,15,15
TRN-0085,COR-2,SEC-3,LIN-5,GOODS,2026-09-09,10:00,10:45,10,10
TRN-0086,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-09,06:00,06:30,15,15
TRN-0087,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-09,08:30,09:00,15,15
TRN-0088,COR-3,SEC-5,LIN-7,GOODS,2026-09-09,10:00,10:45,10,10
TRN-0089,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-10,06:00,06:30,15,15
TRN-0090,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-10,08:30,09:00,15,15
TRN-0091,COR-1,SEC-1,LIN-1,GOODS,2026-09-10,10:00,10:45,10,10
TRN-0092,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-10,06:00,06:30,15,15
TRN-0093,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-10,08:30,09:00,15,15
TRN-0094,COR-2,SEC-3,LIN-5,GOODS,2026-09-10,10:00,10:45,10,10
TRN-0095,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-10,06:00,06:30,15,15
TRN-0096,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-10,08:30,09:00,15,15
TRN-0097,COR-3,SEC-5,LIN-7,GOODS,2026-09-10,10:00,10:45,10,10
TRN-0098,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-11,06:00,06:30,15,15
TRN-0099,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-11,08:30,09:00,15,15
TRN-0100,COR-1,SEC-1,LIN-1,GOODS,2026-09-11,10:00,10:45,10,10
TRN-0101,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-11,06:00,06:30,15,15
TRN-0102,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-11,08:30,09:00,15,15
TRN-0103,COR-2,SEC-3,LIN-5,GOODS,2026-09-11,10:00,10:45,10,10
TRN-0104,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-11,06:00,06:30,15,15
TRN-0105,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-11,08:30,09:00,15,15
TRN-0106,COR-3,SEC-5,LIN-7,GOODS,2026-09-11,10:00,10:45,10,10
TRN-0107,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-12,06:00,06:30,15,15
TRN-0108,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-12,08:30,09:00,15,15
TRN-0109,COR-1,SEC-1,LIN-1,GOODS,2026-09-12,10:00,10:45,10,10
TRN-0110,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-12,06:00,06:30,15,15
TRN-0111,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-12,08:30,09:00,15,15
TRN-0112,COR-2,SEC-3,LIN-5,GOODS,2026-09-12,10:00,10:45,10,10
TRN-0113,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-12,06:00,06:30,15,15
TRN-0114,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-12,08:30,09:00,15,15
TRN-0115,COR-3,SEC-5,LIN-7,GOODS,2026-09-12,10:00,10:45,10,10
TRN-0116,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-13,06:00,06:30,15,15
TRN-0117,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-13,08:30,09:00,15,15
TRN-0118,COR-1,SEC-1,LIN-1,GOODS,2026-09-13,10:00,10:45,10,10
TRN-0119,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-13,06:00,06:30,15,15
TRN-0120,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-13,08:30,09:00,15,15
TRN-0121,COR-2,SEC-3,LIN-5,GOODS,2026-09-13,10:00,10:45,10,10
TRN-0122,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-13,06:00,06:30,15,15
TRN-0123,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-13,08:30,09:00,15,15
TRN-0124,COR-3,SEC-5,LIN-7,GOODS,2026-09-13,10:00,10:45,10,10
TRN-0125,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-14,06:00,06:30,15,15
TRN-0126,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-14,08:30,09:00,15,15
TRN-0127,COR-1,SEC-1,LIN-1,GOODS,2026-09-14,10:00,10:45,10,10
TRN-0128,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-14,06:00,06:30,15,15
TRN-0129,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-14,08:30,09:00,15,15
TRN-0130,COR-2,SEC-3,LIN-5,GOODS,2026-09-14,10:00,10:45,10,10
TRN-0131,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-14,06:00,06:30,15,15
TRN-0132,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-14,08:30,09:00,15,15
TRN-0133,COR-3,SEC-5,LIN-7,GOODS,2026-09-14,10:00,10:45,10,10
